x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,08984309884547E+0
1,00000000000000E-1;1,00497542931112E+0
1,00000000000000E-1;9,95004011330158E-1
2,00000000000000E-1;2,15880448280378E+0
2,00000000000000E-1;1,01954413398471E+0
2,00000000000000E-1;9,80065940126210E-1
3,00000000000000E-1;2,20619508904302E+0
3,00000000000000E-1;1,04267913488394E+0
3,00000000000000E-1;9,55335047382025E-1
4,00000000000000E-1;2,23154138997552E+0
4,00000000000000E-1;1,07271935267396E+0
4,00000000000000E-1;9,21058443990944E-1
5,00000000000000E-1;2,23459012475193E+0
5,00000000000000E-1;1,10744321515571E+0
5,00000000000000E-1;8,77578621615604E-1
6,00000000000000E-1;2,21531082984981E+0
6,00000000000000E-1;1,14416745944211E+0
6,00000000000000E-1;8,25330030512829E-1
7,00000000000000E-1;2,17389614347071E+0
7,00000000000000E-1;1,17986708775695E+0
7,00000000000000E-1;7,64834738507943E-1
8,00000000000000E-1;2,11075988070447E+0
8,00000000000000E-1;1,21131156484183E+0
8,00000000000000E-1;6,96697214494032E-1
9,00000000000000E-1;2,02653289869330E+0
9,00000000000000E-1;1,23521167128764E+0
9,00000000000000E-1;6,21598288579407E-1
1,00000000000000E+0;1,92205679311127E+0
1,00000000000000E+0;1,24837097768210E+0
1,00000000000000E+0;5,40288349233479E-1
