x;y;;x;y;;x;y
0,00E+00;1,00E+00;;0,00E+00;1,00E+00;;0,00E+00;1,00E+00
0,00E+00;1,00E+00;;0,00E+00;1,00E+00;;0,00E+00;1,00E+00
0,00E+00;1,00E+00;;0,00E+00;1,00E+00;;0,00E+00;1,00E+00
1,00E-01;-3,85E+10;;1,00E-01;-2,72E+13;;1,00E-01;-7,14E+08
1,00E-01;3,45E+09;;1,00E-01;1,07E+12;;1,00E-01;1,03E+07
1,00E-01;1,10E+00;;1,00E-01;1,10E+00;;1,00E-01;1,11E+00
2,00E-01;-2,67E+20;;2,00E-01;-5,90E+25;;2,00E-01;-1,53E+16
2,00E-01;1,19E+19;;2,00E-01;1,15E+24;;2,00E-01;1,07E+14
2,00E-01;1,22E+00;;2,00E-01;1,22E+00;;2,00E-01;1,22E+00
3,00E-01;-1,39E+30;;3,00E-01;-9,61E+37;;3,00E-01;-2,45E+23
3,00E-01;4,10E+28;;3,00E-01;1,23E+36;;3,00E-01;1,11E+21
3,00E-01;1,35E+00;;3,00E-01;1,35E+00;;3,00E-01;1,35E+00
4,00E-01;-6,43E+39;;4,00E-01;-1,39E+50;;4,00E-01;-3,50E+30
4,00E-01;1,41E+38;;4,00E-01;1,32E+48;;4,00E-01;1,14E+28
4,00E-01;1,49E+00;;4,00E-01;1,49E+00;;4,00E-01;1,49E+00
5,00E-01;-2,79E+49;;5,00E-01;-1,89E+62;;5,00E-01;-4,69E+37
5,00E-01;4,88E+47;;5,00E-01;1,42E+60;;5,00E-01;1,18E+35
5,00E-01;1,64E+00;;5,00E-01;1,65E+00;;5,00E-01;1,65E+00
6,00E-01;-1,16E+59;;6,00E-01;-2,46E+74;;6,00E-01;-6,03E+44
6,00E-01;1,68E+57;;6,00E-01;1,52E+72;;6,00E-01;1,22E+42
6,00E-01;1,82E+00;;6,00E-01;1,82E+00;;6,00E-01;1,82E+00
7,00E-01;-4,69E+68;;7,00E-01;-3,12E+86;;7,00E-01;-7,54E+51
7,00E-01;5,80E+66;;7,00E-01;1,63E+84;;7,00E-01;1,27E+49
7,00E-01;2,01E+00;;7,00E-01;2,01E+00;;7,00E-01;2,01E+00
8,00E-01;-1,86E+78;;8,00E-01;-3,87E+98;;8,00E-01;-9,24E+58
8,00E-01;2,00E+76;;8,00E-01;1,75E+96;;8,00E-01;1,31E+56
8,00E-01;2,22E+00;;8,00E-01;2,22E+00;;8,00E-01;2,22E+00
9,00E-01;-7,25E+87;;9,00E-01;-4,73E+110;;9,00E-01;-1,12E+66
9,00E-01;6,89E+85;;9,00E-01;1,88E+108;;9,00E-01;1,36E+63
9,00E-01;2,45E+00;;9,00E-01;2,45E+00;;9,00E-01;2,46E+00
1,00E+00;-2,79E+97;;1,00E+00;-5,72E+122;;1,00E+00;-1,33E+73
1,00E+00;2,38E+95;;1,00E+00;2,01E+120;;1,00E+00;1,40E+70
1,00E+00;2,70E+00;;1,00E+00;2,71E+00;;1,00E+00;2,71E+00
