x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;1,32619294715029E+0
1,00000000000000E-1;2,11440684446175E-1
1,00000000000000E-1;1,00156372133279E+0
2,00000000000000E-1;1,13967997119881E+0
2,00000000000000E-1;4,47071630390670E-2
2,00000000000000E-1;1,00312988788998E+0
3,00000000000000E-1;1,04728273538540E+0
3,00000000000000E-1;9,45291315262708E-3
3,00000000000000E-1;1,00469850349524E+0
4,00000000000000E-1;1,01754254084529E+0
4,00000000000000E-1;1,99873042700172E-3
4,00000000000000E-1;1,00626957197817E+0
5,00000000000000E-1;1,01007880799702E+0
5,00000000000000E-1;4,22612929508640E-4
5,00000000000000E-1;1,00784309717441E+0
6,00000000000000E-1;1,00923274967009E+0
6,00000000000000E-1;8,93575670711101E-5
6,00000000000000E-1;1,00941908292557E+0
7,00000000000000E-1;1,01019017726569E+0
7,00000000000000E-1;1,88938251419605E-5
7,00000000000000E-1;1,01099753307926E+0
8,00000000000000E-1;1,01161581166394E+0
8,00000000000000E-1;3,99492331982249E-6
8,00000000000000E-1;1,01257845148914E+0
9,00000000000000E-1;1,01316032259416E+0
9,00000000000000E-1;8,44689321053253E-7
9,00000000000000E-1;1,01416184201485E+0
1,00000000000000E+0;1,01473570554140E+0
1,00000000000000E+0;1,78601688187875E-7
1,00000000000000E+0;1,01574770852211E+0

x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;1,13967997119881E+0
1,00000000000000E-1;4,47071630390670E-2
1,00000000000000E-1;1,00312988788998E+0
2,00000000000000E-1;1,01754254084529E+0
2,00000000000000E-1;1,99873042700172E-3
2,00000000000000E-1;1,00626957197817E+0
3,00000000000000E-1;1,00923274967009E+0
3,00000000000000E-1;8,93575670711101E-5
3,00000000000000E-1;1,00941908292557E+0
4,00000000000000E-1;1,01161581166394E+0
4,00000000000000E-1;3,99492331982249E-6
4,00000000000000E-1;1,01257845148914E+0
5,00000000000000E-1;1,01473570554140E+0
5,00000000000000E-1;1,78601688187875E-7
5,00000000000000E-1;1,01574770852211E+0
6,00000000000000E-1;1,01790912223233E+0
6,00000000000000E-1;7,98477479286794E-9
6,00000000000000E-1;1,01892688497430E+0
7,00000000000000E-1;1,02109492459095E+0
7,00000000000000E-1;3,56976628494980E-10
7,00000000000000E-1;1,02211601189236E+0
8,00000000000000E-1;1,02429082997906E+0
8,00000000000000E-1;1,59594123312615E-11
8,00000000000000E-1;1,02531512042014E+0
9,00000000000000E-1;1,02749674507342E+0
9,00000000000000E-1;7,13500049101406E-13
9,00000000000000E-1;1,02852424179896E+0
1,00000000000000E+0;1,03071269467422E+0
1,00000000000000E+0;3,18985630235589E-14
1,00000000000000E+0;1,03174340736792E+0


x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;1,01754254084529E+0
1,00000000000000E-1;1,99873042700172E-3
1,00000000000000E-1;1,00626957197817E+0
2,00000000000000E-1;1,01161581166394E+0
2,00000000000000E-1;3,99492331982249E-6
2,00000000000000E-1;1,01257845148914E+0
3,00000000000000E-1;1,01790912223233E+0
3,00000000000000E-1;7,98477479286794E-9
3,00000000000000E-1;1,01892688497430E+0
4,00000000000000E-1;1,02429082997906E+0
4,00000000000000E-1;1,59594123312615E-11
4,00000000000000E-1;1,02531512042014E+0
5,00000000000000E-1;1,03071269467422E+0
5,00000000000000E-1;3,18985630235589E-14
5,00000000000000E-1;1,03174340736792E+0
6,00000000000000E-1;1,03717482210133E+0
6,00000000000000E-1;6,37566284928193E-17
6,00000000000000E-1;1,03821199692342E+0
7,00000000000000E-1;1,04367746430244E+0
7,00000000000000E-1;1,27432313291643E-19
7,00000000000000E-1;1,04472114176674E+0
8,00000000000000E-1;1,05022087528688E+0
8,00000000000000E-1;2,54702841959222E-22
8,00000000000000E-1;1,05127109616217E+0
9,00000000000000E-1;1,05680531065747E+0
9,00000000000000E-1;5,09082320067709E-25
9,00000000000000E-1;1,05786211596813E+0
1,00000000000000E+0;1,06343102761956E+0
1,00000000000000E+0;1,01751832296796E-27
1,00000000000000E+0;1,06449445864718E+0
