x;y
0,00000000000000E+0;2,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;1,00000000000000E+0
1,00000000000000E-1;2,09010282721699E+0
1,00000000000000E-1;1,00485950415558E+0
1,00000000000000E-1;9,95128568984887E-1
2,00000000000000E-1;2,15934201001710E+0
2,00000000000000E-1;1,01934665171447E+0
2,00000000000000E-1;9,80311707148659E-1
3,00000000000000E-1;2,20702043214288E+0
3,00000000000000E-1;1,04244169880309E+0
3,00000000000000E-1;9,55694991138096E-1
4,00000000000000E-1;2,23265625740024E+0
4,00000000000000E-1;1,07248903682708E+0
4,00000000000000E-1;9,21521962887875E-1
5,00000000000000E-1;2,23598779842232E+0
5,00000000000000E-1;1,10727028315312E+0
5,00000000000000E-1;8,78131720426493E-1
6,00000000000000E-1;2,21697618672712E+0
6,00000000000000E-1;1,14410268769265E+0
6,00000000000000E-1;8,25955553198065E-1
7,00000000000000E-1;2,17580581683760E+0
7,00000000000000E-1;1,17995883718554E+0
7,00000000000000E-1;7,65512655283930E-1
8,00000000000000E-1;2,11288255946954E+0
8,00000000000000E-1;1,21160276128293E+0
8,00000000000000E-1;6,97404959130849E-1
9,00000000000000E-1;2,02882976108497E+0
9,00000000000000E-1;1,23573686308793E+0
9,00000000000000E-1;6,22311141191879E-1
1,00000000000000E+0;1,92448206923347E+0
1,00000000000000E+0;1,24915363911363E+0
1,00000000000000E+0;5,40979859173884E-1
