x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;5,00000000000000E-1
1,00000000000000E-1;1,05087217790838E+0
1,00000000000000E-1;3,95661136791774E-1
2,00000000000000E-1;1,10242282871729E+0
2,00000000000000E-1;2,82455566382894E-1
3,00000000000000E-1;1,15261090481302E+0
3,00000000000000E-1;1,61911300719539E-1
4,00000000000000E-1;1,19946139783350E+0
4,00000000000000E-1;3,60398216185151E-2
5,00000000000000E-1;1,24126631539421E+0
5,00000000000000E-1;-9,26248426300848E-2
6,00000000000000E-1;1,27678890729764E+0
6,00000000000000E-1;-2,21057822468164E-1
7,00000000000000E-1;1,30543337035067E+0
7,00000000000000E-1;-3,45854775761939E-1
8,00000000000000E-1;1,32734421815937E+0
8,00000000000000E-1;-4,63412849589894E-1
9,00000000000000E-1;1,34341341398679E+0
9,00000000000000E-1;-5,70153131808342E-1
1,00000000000000E+0;1,35519569382623E+0
1,00000000000000E+0;-6,62746790967284E-1


x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;5,00000000000000E-1
1,00000000000000E-1;1,05090176137078E+0
1,00000000000000E-1;3,95420446368439E-1
2,00000000000000E-1;1,10240626655758E+0
2,00000000000000E-1;2,82008410514763E-1
3,00000000000000E-1;1,15247340086788E+0
3,00000000000000E-1;1,61320382912754E-1
4,00000000000000E-1;1,19914109725344E+0
4,00000000000000E-1;3,53986764269318E-2
5,00000000000000E-1;1,24072718770936E+0
5,00000000000000E-1;-9,31947435518765E-2
6,00000000000000E-1;1,27603158745341E+0
6,00000000000000E-1;-2,21416143233113E-1
7,00000000000000E-1;1,30450092681313E+0
7,00000000000000E-1;-3,45856866429509E-1
8,00000000000000E-1;1,32632082196262E+0
8,00000000000000E-1;-4,62927354026918E-1
9,00000000000000E-1;1,34241579798667E+0
9,00000000000000E-1;-5,69079195463496E-1
1,00000000000000E+0;1,35435938092494E+0
1,00000000000000E+0;-6,61027578419382E-1


x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;5,00000000000000E-1
1,00000000000000E-1;1,05091578249352E+0
1,00000000000000E-1;3,95300234853498E-1
2,00000000000000E-1;1,10239641798942E+0
2,00000000000000E-1;2,81785639891608E-1
3,00000000000000E-1;1,15240250068413E+0
3,00000000000000E-1;1,61026994488737E-1
4,00000000000000E-1;1,19897871310871E+0
4,00000000000000E-1;3,50819407480905E-2
5,00000000000000E-1;1,24045603681102E+0
5,00000000000000E-1;-9,34738425510511E-2
6,00000000000000E-1;1,27565282515591E+0
6,00000000000000E-1;-2,21587596689784E-1
7,00000000000000E-1;1,30403683261939E+0
7,00000000000000E-1;-3,45848992154600E-1
8,00000000000000E-1;1,32581392895177E+0
8,00000000000000E-1;-4,62675561592585E-1
9,00000000000000E-1;1,34192448084679E+0
9,00000000000000E-1;-5,68534438132011E-1
1,00000000000000E+0;1,35395094012044E+0
1,00000000000000E+0;-6,60162893445739E-1
