x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;5,00000000000000E-1
1,00000000000000E-1;1,05092928884201E+0
1,00000000000000E-1;3,95180120896977E-1
2,00000000000000E-1;1,10238552725495E+0
2,00000000000000E-1;2,81563425474237E-1
3,00000000000000E-1;1,15233018123074E+0
3,00000000000000E-1;1,60735011341503E-1
4,00000000000000E-1;1,19881486788363E+0
4,00000000000000E-1;3,47677873511907E-2
5,00000000000000E-1;1,24018387268547E+0
5,00000000000000E-1;-9,37490289417961E-2
6,00000000000000E-1;1,27527405123983E+0
6,00000000000000E-1;-2,21753927167429E-1
7,00000000000000E-1;1,30357421395306E+0
7,00000000000000E-1;-3,45835224403578E-1
8,00000000000000E-1;1,32531028165062E+0
8,00000000000000E-1;-4,62417834696519E-1
9,00000000000000E-1;1,34143817013945E+0
9,00000000000000E-1;-5,67984620765202E-1
1,00000000000000E+0;1,35354894899377E+0
1,00000000000000E+0;-6,59294979140613E-1
