x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;5,00000000000000E-1
1,00000000000000E-1;1,05092928878692E+0
1,00000000000000E-1;3,95180112627657E-1
2,00000000000000E-1;1,10238552518773E+0
2,00000000000000E-1;2,81563409714898E-1
3,00000000000000E-1;1,15233017504928E+0
3,00000000000000E-1;1,60734990370998E-1
4,00000000000000E-1;1,19881485582578E+0
4,00000000000000E-1;3,47677651631908E-2
5,00000000000000E-1;1,24018385395528E+0
5,00000000000000E-1;-9,37490467331480E-2
6,00000000000000E-1;1,27527402660844E+0
6,00000000000000E-1;-2,21753933834179E-1
7,00000000000000E-1;1,30357418612522E+0
7,00000000000000E-1;-3,45835213007872E-1
8,00000000000000E-1;1,32531025523641E+0
8,00000000000000E-1;-4,62417799230590E-1
9,00000000000000E-1;1,34143815120322E+0
9,00000000000000E-1;-5,67984557265487E-1
1,00000000000000E+0;1,35354894430657E+0
1,00000000000000E+0;-6,59294886518243E-1


x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;5,00000000000000E-1
1,00000000000000E-1;1,05092928883410E+0
1,00000000000000E-1;3,95180119981286E-1
2,00000000000000E-1;1,10238552702144E+0
2,00000000000000E-1;2,81563423731296E-1
3,00000000000000E-1;1,15233018053881E+0
3,00000000000000E-1;1,60735009026887E-1
4,00000000000000E-1;1,19881486653955E+0
4,00000000000000E-1;3,47677849109570E-2
5,00000000000000E-1;1,24018387060421E+0
5,00000000000000E-1;-9,37490308824650E-2
6,00000000000000E-1;1,27527404851141E+0
6,00000000000000E-1;-2,21753927861486E-1
7,00000000000000E-1;1,30357421088235E+0
7,00000000000000E-1;-3,45835223083249E-1
8,00000000000000E-1;1,32531027875302E+0
8,00000000000000E-1;-4,62417830700089E-1
9,00000000000000E-1;1,34143816808975E+0
9,00000000000000E-1;-5,67984613660226E-1
1,00000000000000E+0;1,35354894854254E+0
1,00000000000000E+0;-6,59294968815074E-1


x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;5,00000000000000E-1
1,00000000000000E-1;1,05092928884201E+0
1,00000000000000E-1;3,95180120896977E-1
2,00000000000000E-1;1,10238552725495E+0
2,00000000000000E-1;2,81563425474237E-1
3,00000000000000E-1;1,15233018123074E+0
3,00000000000000E-1;1,60735011341503E-1
4,00000000000000E-1;1,19881486788363E+0
4,00000000000000E-1;3,47677873511907E-2
5,00000000000000E-1;1,24018387268547E+0
5,00000000000000E-1;-9,37490289417961E-2
6,00000000000000E-1;1,27527405123983E+0
6,00000000000000E-1;-2,21753927167429E-1
7,00000000000000E-1;1,30357421395306E+0
7,00000000000000E-1;-3,45835224403578E-1
8,00000000000000E-1;1,32531028165062E+0
8,00000000000000E-1;-4,62417834696519E-1
9,00000000000000E-1;1,34143817013945E+0
9,00000000000000E-1;-5,67984620765202E-1
1,00000000000000E+0;1,35354894899377E+0
1,00000000000000E+0;-6,59294979140613E-1
