x;y
0,00000000000000E+0;1,00000000000000E+0
0,00000000000000E+0;5,00000000000000E-1
1,00000000000000E-1;1,05092946761216E+0
1,00000000000000E-1;3,95180545011435E-1
2,00000000000000E-1;1,10238589909761E+0
2,00000000000000E-1;2,81564054440019E-1
3,00000000000000E-1;1,15233070020697E+0
3,00000000000000E-1;1,60735616118033E-1
4,00000000000000E-1;1,19881541808301E+0
4,00000000000000E-1;3,47681640511404E-2
5,00000000000000E-1;1,24018427359680E+0
5,00000000000000E-1;-9,37490169090523E-2
6,00000000000000E-1;1,27527408134739E+0
6,00000000000000E-1;-2,21754308839140E-1
7,00000000000000E-1;1,30357364986048E+0
7,00000000000000E-1;-3,45835894022598E-1
8,00000000000000E-1;1,32530894402400E+0
8,00000000000000E-1;-4,62418546511349E-1
9,00000000000000E-1;1,34143596463322E+0
9,00000000000000E-1;-5,67985008866285E-1
1,00000000000000E+0;1,35354589196338E+0
1,00000000000000E+0;-6,59294597883755E-1
